"search-number","evaluation","evals-requested-so-far","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","61","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-1648101826""","4.978549524030907","4.978549524030907","4.978549524030907","0","4.978549524030907"
"1","62","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""207873154""","-1.056075248736819","-1.056075248736819","-1.056075248736819","0","-1.056075248736819"
"1","63","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-126276436""","-10.465660719441454","-10.465660719441454","-10.465660719441454","0","-10.465660719441454"
"1","64","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-1756147869""","-0.31627501029105265","-0.31627501029105265","-0.31627501029105265","0","-0.31627501029105265"
"1","65","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-1562478469""","-0.5770192473225164","-0.5770192473225164","-0.5770192473225164","0","-0.5770192473225164"
"1","66","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-201287196""","1.294293551580212","1.294293551580212","1.294293551580212","0","1.294293551580212"
"1","67","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""194065719""","-4.120157717601531","-4.120157717601531","-4.120157717601531","0","-4.120157717601531"
"1","68","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""-245950167""","-2.592020386165002","-2.592020386165002","-2.592020386165002","0","-2.592020386165002"
"1","69","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""1149924768""","-1.2088466342174653","-1.2088466342174653","-1.2088466342174653","0","-1.2088466342174653"
"1","70","170","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","""1981928989""","-0.17835572088620782","-0.17835572088620782","-0.17835572088620782","0","-0.17835572088620782"
"1","71","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""-1107607864""","0.11046899273348687","0.11046899273348687","0.11046899273348687","0","0.11046899273348687"
"1","72","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""1277623542""","-0.2635526084101384","-0.2635526084101384","-0.2635526084101384","0","-0.2635526084101384"
"1","73","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""987382033""","0.5307598323321486","0.5307598323321486","0.5307598323321486","0","0.5307598323321486"
"1","74","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""-636867995""","-1.4894738181464955","-1.4894738181464955","-1.4894738181464955","0","-1.4894738181464955"
"1","75","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""-247046303""","7.393633556934263","7.393633556934263","7.393633556934263","0","7.393633556934263"
"1","76","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""210670886""","-2.4785109373977727","-2.4785109373977727","-2.4785109373977727","0","-2.4785109373977727"
"1","77","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""594065902""","13.340488549828658","13.340488549828658","13.340488549828658","0","13.340488549828658"
"1","78","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""1510056351""","5.428213435042632","5.428213435042632","5.428213435042632","0","5.428213435042632"
"1","79","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""211265728""","-2.6703934217366343","-2.6703934217366343","-2.6703934217366343","0","-2.6703934217366343"
"1","80","910","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","""1340807021""","2.7933267708490135","2.7933267708490135","2.7933267708490135","0","2.7933267708490135"
